id,name,IS_Sharpe,OOS_Sharpe,decay,IS_CAGR,OOS_CAGR,IS_MDD,OOS_MDD,Full_Sharpe,Full_CAGR,turnover,flag,quarantined,stub
s50,Managed Futures,0.3610916036598241,0.033339084754771306,-0.3277525189050528,0.03164462573035043,-0.0026576714651928013,-0.27374243515764063,-0.22590465139053603,0.25363356944316234,0.021229751941269637,12.05233505692422,MIRAGE,False,False
s09,ST Reversal,-0.3265853031308381,-0.1350551000583002,0.1915302030725379,-0.036094144665117955,-0.018364609035592117,-0.6456175658761135,-0.24290029117302692,-0.26821716433228626,-0.03080808928985157,43.4381801274149,WEAK,False,False
s04,52-Week High,-0.09819002607677793,-0.15107223646028534,-0.052882210383507405,-0.050687746643226284,-0.0638410502932425,-0.7861366881071841,-0.6086754631296941,-0.11421410431961183,-0.05465383429974058,8.124697388633338,WEAK,False,False
s23,FX Carry,-0.05463580353701606,-0.20124360929995555,-0.1466078057629395,-0.006622492422883375,-0.021459847077388683,-0.21338542144049466,-0.2624506639714262,-0.10433645792578013,-0.01109808004706081,10.623937905137986,WEAK,False,False
s25,Bond Carry,0.06423865443874303,-0.2633390527035781,-0.32757770714232115,0.0018110033368379241,-0.01433298955733564,-0.170185458468725,-0.13981997448905792,-0.046898889962747596,-0.0030607565836288098,5.370745170193192,WEAK,False,False
s14,VWAP Rev. (proxy),-0.15152551945213907,-0.30974902393864506,-0.158223504486506,-0.037459097887468484,-0.05990707035621645,-0.6834337578886378,-0.5206119822008116,-0.19797049751447743,-0.044250580780122006,18.275988960441584,WEAK,False,False
s11,Pairs Coint.,-0.05109389241798361,-0.33652201775504004,-0.2854281253370564,-0.00012669580434110372,-0.0006934678964410912,-0.008178177231902102,-0.00835812024597492,-0.12688663575599365,-0.00029679594087039796,,WEAK,False,False
s38,Pre-Holiday,-0.42893362388982925,-0.46732149785549354,-0.03838787396566429,-0.005918489005034222,-0.0059453489308445295,-0.13483976774216577,-0.05212564406127122,-0.43957884557957366,-0.005926548706334134,4.1729530818767255,WEAK,False,False
s13,RSI2 Bounce,-0.24419133397109052,-0.46839783606760166,-0.22420650209651113,-0.04675347654808315,-0.07153968194143412,-0.6485919984528271,-0.47061501960994123,-0.3074240579287762,-0.054259552494410834,85.59970108523154,WEAK,False,False
s37,FOMC Drift,-0.1842764948030872,-0.7747804232172537,-0.5905039284141665,-0.008160729253519516,-0.04217563914808686,-0.15826706515423608,-0.28440300407638264,-0.39554970074389906,-0.018492225842148602,15.91904323827047,WEAK,False,False
s15,OU Spread,-1.0074589113967374,-0.9304878178532506,0.07697109354348675,-0.013706112151609773,-0.023584799912109378,-0.22192684521459244,-0.1832386125721565,-0.9288205943232944,-0.016680774119210207,,WEAK,False,False
s06,Intraday (proxy),-1.5371567849106835,-1.3424740623645186,0.19468272254616492,-0.19696089933411765,-0.1665145324453755,-0.9829049185602128,-0.7589695514263005,-1.4805484358622656,-0.18794380253244758,133.22539098436064,WEAK,False,False
s12,Gap Fade,-1.6463111427770756,-1.8692607516529274,-0.2229496088758518,-0.3296220030816045,-0.3610595767852284,-0.9993264794490248,-0.9691420109147348,-1.713034962350595,-0.3392142690358113,203.4648477653669,WEAK,False,False
s36,Day of Week,-2.641924190998951,-2.5134204426454314,0.1285037483535194,-0.33449158278714575,-0.3209285487119605,-0.9994089803056929,-0.9504755095855263,-2.603598207988365,-0.3304505369335259,201.5768169273229,WEAK,False,False
